pick,round,team,player,FGM/A,FTM/A,GP,MIN,FGA,FGM,FG%,FTA,FTM,FT%,3PTA,3PTM,3PT%,PTS,OFFREB,DEFREB,REB,AST,ST,BLK,TO,PF,position,IMPACT_FG,IMPACT_FT
1,1,Ryan's Team,James Harden,250/517,183/213,31,1172,517,250,0.484,213,183,0.859,252,101,0.401,784,26,216,242,345,36,21,131,67,PG,2.8317307692307807,15.69225000000006
2,1,Ay-ton of drugs,Giannis Antetokounmpo,368/661,240/363,35,1187,661,368,0.557,363,240,0.661,137,39,0.285,1015,64,344,408,205,44,49,128,106,PF,31.032307692307732,-26.939999999999912
3,1,JR Dreamers,Luka Doncic,319/668,193/255,32,1123,668,319,0.478,255,193,0.757,238,85,0.357,916,27,242,269,287,32,22,133,64,PG,1.6992884615384747,-3.136249999999933
4,1,World B. Flat,Anthony Davis,204/383,93/130,23,756,383,204,0.533,130,93,0.715,58,17,0.293,518,47,146,193,70,31,41,45,42,PF,12.306692307692327,-5.417249999999971
5,1,Josh's Unreal Team,Damian Lillard,315/708,237/254,34,1224,708,315,0.445,254,237,0.933,380,146,0.384,1013,15,130,145,271,35,9,111,53,PG,-8.71701923076921,37.860750000000095
6,1,ahmad's Team,Karl-Anthony Towns,126/255,70/77,16,522,255,126,0.494,77,70,0.909,80,30,0.375,352,48,127,175,63,14,27,51,60,C,2.6871923076923148,9.502500000000026
7,1,The Stephfather,Stephen Curry,343/718,184/197,35,1194,718,343,0.478,197,184,0.934,411,169,0.411,1039,17,174,191,221,46,2,111,64,PG,1.8271346153846295,29.578000000000074
8,1,Keldon's Johnson,Nikola Jokic,379/668,163/185,36,1295,668,379,0.567,185,163,0.881,134,56,0.418,977,101,296,397,309,58,23,114,107,PF,35.74990384615385,17.563250000000057
9,1,Check Da Statistacss,Devin Booker,284/573,141/168,31,1051,573,284,0.496,168,141,0.839,174,63,0.362,772,6,107,113,137,28,8,103,93,SG,6.62484615384617,9.270750000000044
10,1,Mount Zion💪🏾,Jayson Tatum,279/638,134/156,31,1110,638,279,0.437,156,134,0.859,220,81,0.368,773,18,201,219,138,42,15,79,60,SF,-9.952788461538445,11.490500000000043
11,1,Herro Ball,Trae Young,262/610,288/328,34,1181,610,262,0.43,328,288,0.878,225,85,0.378,897,25,117,142,321,30,8,149,70,PG,-11.18034615384614,30.1680000000001
12,1,THANKS 4 DAFREEBANDZ,LeBron James,350/687,144/208,36,1242,687,350,0.509,208,144,0.692,240,86,0.358,930,21,268,289,280,41,22,135,56,PG,12.7144230769231,-11.699999999999958
13,2,THANKS 4 DAFREEBANDZ,Kawhi Leonard,287/562,165/189,30,1040,562,287,0.511,189,165,0.873,155,60,0.387,799,28,160,188,146,45,16,58,48,SG,10.999826923076943,16.458750000000055
14,2,Herro Ball,Kevin Durant,188/359,126/145,19,679,359,188,0.524,145,126,0.869,113,49,0.434,551,7,132,139,100,14,27,67,43,SF,9.649461538461553,12.064500000000042
15,2,Mount Zion💪🏾,Zion Williamson,335/546,194/279,34,1124,546,335,0.614,279,194,0.695,19,6,0.316,870,93,152,245,117,32,24,88,82,PF,47.34451923076925,-15.180499999999943
