team_id,team_name,week,start_date,end_date,current_date,roster_ids,roster_names,selected_positions
402.l.42709.t.5,Ay-ton of drugs,1,2020-12-22,2020-12-27,2020-12-22,"[5600, 5667, 5637, 6165, 5185, 5192, 5958, 6356, 6019, 5187, 5476, 4472, 6401, 6171]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Giannis Antetokounmpo', 'Mason Plumlee', 'Deandre Ayton', 'James Wiseman', 'Collin Sexton', 'Dennis Schroder', 'Terry Rozier', 'Brook Lopez', 'Deni Avdija', 'Rui Hachimura']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5185: 'PF', 5192: 'F', 5958: 'C', 6356: 'C', 6019: 'Util', 5187: 'Util', 5476: 'BN', 4472: 'BN', 6401: 'BN', 6171: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,1,2020-12-22,2020-12-27,2020-12-23,"[5600, 5667, 5637, 6165, 5185, 5192, 5958, 4472, 6019, 5476, 5187, 6356, 6401, 6171]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Giannis Antetokounmpo', 'Mason Plumlee', 'Deandre Ayton', 'Brook Lopez', 'Collin Sexton', 'Terry Rozier', 'Dennis Schroder', 'James Wiseman', 'Deni Avdija', 'Rui Hachimura']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5185: 'PF', 5192: 'F', 5958: 'C', 4472: 'C', 6019: 'Util', 5476: 'Util', 5187: 'BN', 6356: 'BN', 6401: 'BN', 6171: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,1,2020-12-22,2020-12-27,2020-12-24,"[5600, 5667, 5637, 6165, 5185, 5192, 5958, 4472, 5476, 4175, 6019, 5187, 6356, 6171]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Giannis Antetokounmpo', 'Mason Plumlee', 'Deandre Ayton', 'Brook Lopez', 'Terry Rozier', 'Paul Millsap', 'Collin Sexton', 'Dennis Schroder', 'James Wiseman', 'Rui Hachimura']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5185: 'PF', 5192: 'F', 5958: 'C', 4472: 'C', 5476: 'Util', 4175: 'Util', 6019: 'BN', 5187: 'BN', 6356: 'BN', 6171: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,1,2020-12-22,2020-12-27,2020-12-25,"[5187, 5667, 5637, 6165, 5185, 5192, 4472, 6356, 5476, 4175, 5600, 5958, 6019, 6171]","['Dennis Schroder', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Giannis Antetokounmpo', 'Mason Plumlee', 'Brook Lopez', 'James Wiseman', 'Terry Rozier', 'Paul Millsap', 'Ben Simmons', 'Deandre Ayton', 'Collin Sexton', 'Rui Hachimura']","{5187: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5185: 'PF', 5192: 'F', 4472: 'C', 6356: 'C', 5476: 'Util', 4175: 'Util', 5600: 'BN', 5958: 'BN', 6019: 'BN', 6171: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,1,2020-12-22,2020-12-27,2020-12-26,"[5600, 5667, 5637, 6165, 5185, 5192, 6356, 5958, 5476, 6019, 5187, 4472, 4175, 6171]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Giannis Antetokounmpo', 'Mason Plumlee', 'James Wiseman', 'Deandre Ayton', 'Terry Rozier', 'Collin Sexton', 'Dennis Schroder', 'Brook Lopez', 'Paul Millsap', 'Rui Hachimura']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5185: 'PF', 5192: 'F', 6356: 'C', 5958: 'C', 5476: 'Util', 6019: 'Util', 5187: 'BN', 4472: 'BN', 4175: 'BN', 6171: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,1,2020-12-22,2020-12-27,2020-12-27,"[5600, 5667, 5637, 6165, 5192, 5185, 6356, 5958, 5187, 6019, 5476, 4472, 4175, 6171, 6218]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Mason Plumlee', 'Giannis Antetokounmpo', 'James Wiseman', 'Deandre Ayton', 'Dennis Schroder', 'Collin Sexton', 'Terry Rozier', 'Brook Lopez', 'Paul Millsap', 'Rui Hachimura', 'Kevin Porter Jr.']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5192: 'PF', 5185: 'F', 6356: 'C', 5958: 'C', 5187: 'Util', 6019: 'Util', 5476: 'BN', 4472: 'BN', 4175: 'BN', 6171: 'IL', 6218: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,2,2020-12-28,2021-01-03,2020-12-28,"[5600, 5667, 5637, 6165, 5192, 4175, 6356, 5958, 5187, 6019, 5185, 5476, 4472, 6171, 6218]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Mason Plumlee', 'Paul Millsap', 'James Wiseman', 'Deandre Ayton', 'Dennis Schroder', 'Collin Sexton', 'Giannis Antetokounmpo', 'Terry Rozier', 'Brook Lopez', 'Rui Hachimura', 'Kevin Porter Jr.']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5192: 'PF', 4175: 'F', 6356: 'C', 5958: 'C', 5187: 'Util', 6019: 'Util', 5185: 'BN', 5476: 'BN', 4472: 'BN', 6171: 'IL', 6218: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,2,2020-12-28,2021-01-03,2020-12-29,"[5600, 5667, 5637, 6165, 5192, 5185, 6356, 5958, 6019, 4472, 4175, 5187, 5476, 6171, 6218]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Mason Plumlee', 'Giannis Antetokounmpo', 'James Wiseman', 'Deandre Ayton', 'Collin Sexton', 'Brook Lopez', 'Paul Millsap', 'Dennis Schroder', 'Terry Rozier', 'Rui Hachimura', 'Kevin Porter Jr.']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5192: 'PF', 5185: 'F', 6356: 'C', 5958: 'C', 6019: 'Util', 4472: 'Util', 4175: 'BN', 5187: 'BN', 5476: 'BN', 6171: 'IL', 6218: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,2,2020-12-28,2021-01-03,2020-12-30,"[5187, 5667, 5476, 6165, 5185, 4175, 6356, 5958, 6019, 4472, 5600, 5637, 5192, 6171, 6218]","['Dennis Schroder', 'Malcolm Brogdon', 'Terry Rozier', 'RJ Barrett', 'Giannis Antetokounmpo', 'Paul Millsap', 'James Wiseman', 'Deandre Ayton', 'Collin Sexton', 'Brook Lopez', 'Ben Simmons', 'Buddy Hield', 'Mason Plumlee', 'Rui Hachimura', 'Kevin Porter Jr.']","{5187: 'PG', 5667: 'SG', 5476: 'G', 6165: 'SF', 5185: 'PF', 4175: 'F', 6356: 'C', 5958: 'C', 6019: 'Util', 4472: 'Util', 5600: 'BN', 5637: 'BN', 5192: 'BN', 6171: 'IL', 6218: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,2,2020-12-28,2021-01-03,2020-12-31,"[5600, 5667, 5637, 6165, 5185, 4175, 6356, 5958, 6019, 4472, 5187, 5476, 5192, 6171, 6218]","['Ben Simmons', 'Malcolm Brogdon', 'Buddy Hield', 'RJ Barrett', 'Giannis Antetokounmpo', 'Paul Millsap', 'James Wiseman', 'Deandre Ayton', 'Collin Sexton', 'Brook Lopez', 'Dennis Schroder', 'Terry Rozier', 'Mason Plumlee', 'Rui Hachimura', 'Kevin Porter Jr.']","{5600: 'PG', 5667: 'SG', 5637: 'G', 6165: 'SF', 5185: 'PF', 4175: 'F', 6356: 'C', 5958: 'C', 6019: 'Util', 4472: 'Util', 5187: 'BN', 5476: 'BN', 5192: 'BN', 6171: 'IL', 6218: 'IL'}"
