week,team_id,team_name,opponent_id,opponent_name,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM/A,FTM/A
1,402.l.42709.t.1,The Stephfather,402.l.42709.t.2,Josh's Unreal Team,0.449,0.832,44,578,164,118,38,23,65,210/468,114/137
1,402.l.42709.t.2,Josh's Unreal Team,402.l.42709.t.1,The Stephfather,0.503,0.721,49,502,173,105,24,26,55,189/376,75/104
1,402.l.42709.t.3,World B. Flat,402.l.42709.t.11,Ryan's Team,0.506,0.841,56,479,154,117,34,9,78,177/350,69/82
1,402.l.42709.t.11,Ryan's Team,402.l.42709.t.3,World B. Flat,0.461,0.738,52,506,204,100,27,19,56,179/388,96/130
1,402.l.42709.t.4,Keldon's Johnson,402.l.42709.t.10,ahmad's Team,0.461,0.78,42,473,180,128,23,15,59,173/375,85/109
1,402.l.42709.t.10,ahmad's Team,402.l.42709.t.4,Keldon's Johnson,0.424,0.778,29,307,116,70,20,18,46,111/262,56/72
1,402.l.42709.t.5,Ay-ton of drugs,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,0.507,0.652,51,598,215,117,33,22,76,223/440,101/155
1,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,402.l.42709.t.5,Ay-ton of drugs,0.429,0.784,27,369,152,105,26,26,59,142/331,58/74
1,402.l.42709.t.6,Check Da Statistacss,402.l.42709.t.8,JR Dreamers,0.473,0.872,57,480,112,80,32,9,70,164/347,95/109
1,402.l.42709.t.8,JR Dreamers,402.l.42709.t.6,Check Da Statistacss,0.471,0.733,28,367,183,103,30,22,59,138/293,63/86
1,402.l.42709.t.7,Mount Zion💪🏾,402.l.42709.t.12,Herro Ball,0.423,0.757,46,442,187,113,28,14,46,159/376,78/103
1,402.l.42709.t.12,Herro Ball,402.l.42709.t.7,Mount Zion💪🏾,0.465,0.775,44,515,203,104,35,26,78,182/391,107/138
2,402.l.42709.t.1,The Stephfather,402.l.42709.t.3,World B. Flat,0.498,0.79,74,704,216,109,36,24,92,253/508,124/157
2,402.l.42709.t.3,World B. Flat,402.l.42709.t.1,The Stephfather,0.449,0.846,108,692,236,148,61,22,77,237/528,110/130
2,402.l.42709.t.2,Josh's Unreal Team,402.l.42709.t.12,Herro Ball,0.473,0.845,90,740,266,157,40,22,84,254/537,142/168
2,402.l.42709.t.12,Herro Ball,402.l.42709.t.2,Josh's Unreal Team,0.469,0.805,43,633,274,152,34,36,98,231/493,128/159
2,402.l.42709.t.4,Keldon's Johnson,402.l.42709.t.11,Ryan's Team,0.471,0.764,73,638,265,187,43,19,107,242/514,81/106
2,402.l.42709.t.11,Ryan's Team,402.l.42709.t.4,Keldon's Johnson,0.466,0.82,91,693,247,140,28,26,87,251/539,100/122
2,402.l.42709.t.5,Ay-ton of drugs,402.l.42709.t.10,ahmad's Team,0.476,0.792,66,670,269,147,43,25,81,243/511,118/149
2,402.l.42709.t.10,ahmad's Team,402.l.42709.t.5,Ay-ton of drugs,0.468,0.755,65,554,198,130,41,23,75,203/434,83/110
2,402.l.42709.t.6,Check Da Statistacss,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,0.458,0.736,47,503,145,104,27,11,63,182/397,92/125
2,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,402.l.42709.t.6,Check Da Statistacss,0.427,0.806,45,464,183,104,31,30,56,166/389,87/108
2,402.l.42709.t.7,Mount Zion💪🏾,402.l.42709.t.8,JR Dreamers,0.459,0.759,53,563,210,143,34,24,64,211/460,88/116
2,402.l.42709.t.8,JR Dreamers,402.l.42709.t.7,Mount Zion💪🏾,0.462,0.702,47,507,228,124,33,32,69,184/398,92/131
3,402.l.42709.t.1,The Stephfather,402.l.42709.t.4,Keldon's Johnson,0.461,0.836,84,715,228,140,42,25,75,262/568,107/128
3,402.l.42709.t.4,Keldon's Johnson,402.l.42709.t.1,The Stephfather,0.482,0.799,89,844,321,173,39,16,91,318/660,119/149
3,402.l.42709.t.2,Josh's Unreal Team,402.l.42709.t.3,World B. Flat,0.478,0.792,64,664,285,126,32,27,70,239/500,122/154
3,402.l.42709.t.3,World B. Flat,402.l.42709.t.2,Josh's Unreal Team,0.485,0.798,78,583,224,141,39,23,56,205/423,95/119
