player_id,stat_type,name,percent_owned,status,ownership,FGM/A,FTM/A,GP,MIN,FGA,FGM,FG%,FTA,FTM,FT%,3PTA,3PTM,3PT%,PTS,OFFREB,DEFREB,REB,AST,ST,BLK,TO,PF,IMPACT_FG,IMPACT_FT
3704,lastmonth,LeBron James,100,GTD,THANKS 4 DAFREEBANDZ,140/264,49/75,13,472,264,140,0.53,75,49,0.653,86,23,0.267,352,6,103,109,104,21,11,55,23,19.487379032258072,3.405104838709679
3706,lastmonth,Carmelo Anthony,56,,World B. Flat,81/181,29/36,14,356,181,81,0.448,36,29,0.806,70,30,0.429,221,10,31,41,23,12,13,17,32,4.632840725806454,6.45226612903226
3818,lastmonth,Dwight Howard,11,,Mount Zion💪🏾,30/49,20/30,13,177,49,30,0.612,30,20,0.667,4,1,0.25,81,31,50,81,12,3,10,16,31,6.635866935483871,1.6698387096774203
3930,lastmonth,Chris Paul,99,,THANKS 4 DAFREEBANDZ,82/162,25/27,14,428,162,82,0.506,27,25,0.926,64,29,0.453,218,3,66,69,131,17,5,30,26,9.446036290322583,8.562298387096776
3971,lastmonth,Lou Williams,57,,Josh's Unreal Team,89/197,43/49,14,374,197,89,0.452,49,43,0.878,48,20,0.417,241,7,31,38,66,15,1,32,13,5.446405241935487,12.663153225806452
4130,lastmonth,LaMarcus Aldridge,85,GTD,The Stephfather,8/23,15/16,3,64,23,8,0.348,16,15,0.938,8,3,0.375,34,2,14,16,1,1,2,4,9,-0.3424354838709678,5.317379032258064
4152,lastmonth,Kyle Lowry,98,,World B. Flat,74/140,29/35,11,354,140,74,0.529,35,29,0.829,65,32,0.492,209,7,41,48,77,14,3,25,33,10.226471774193552,7.119266129032257
4244,lastmonth,Kevin Durant,100,INJ,Herro Ball,11/27,4/6,2,52,27,11,0.407,6,4,0.667,9,2,0.222,28,0,11,11,11,1,3,7,4,0.17815120967741926,0.33396774193548406
4245,lastmonth,Al Horford,82,,ahmad's Team,72/164,9/11,11,325,164,72,0.439,11,9,0.818,64,18,0.281,171,13,53,66,50,10,10,11,23,3.4700806451612918,2.1104274193548385
4246,lastmonth,Mike Conley,86,,Ryan's Team,36/83,10/11,7,197,83,36,0.434,11,10,0.909,43,21,0.488,103,5,16,21,32,11,1,10,14,1.5550403225806457,3.25491935483871
4247,lastmonth,Jeff Green,12,GTD,Keldon's Johnson,40/88,14/19,10,281,88,40,0.455,19,14,0.737,40,15,0.375,109,5,25,30,14,6,3,5,12,2.5678225806451627,2.1488870967741933
4290,lastmonth,Thaddeus Young,74,,Mount Zion💪🏾,88/140,12/23,14,360,140,88,0.629,23,12,0.522,3,0,0.0,188,37,54,91,63,21,10,26,36,20.961209677419358,-0.738096774193548
4387,lastmonth,Derrick Rose,64,INJ,JR Dreamers,47/109,21/24,10,248,109,47,0.431,24,21,0.875,22,10,0.455,125,1,25,26,49,11,6,19,12,1.889191532258065,6.12133064516129
4390,lastmonth,Russell Westbrook,100,,JR Dreamers,119/269,52/99,15,515,269,119,0.442,99,52,0.525,47,10,0.213,300,27,121,148,151,20,5,73,42,6.092272177419358,-3.042419354838708
4391,lastmonth,Kevin Love,75,INJ,Mount Zion💪🏾,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
4468,lastmonth,Danilo Gallinari,58,,Check Da Statistacss,53/140,41/45,14,358,140,53,0.379,45,41,0.911,85,34,0.4,181,2,57,59,28,12,2,13,32,-0.62563508064516,13.42716935483871
4469,lastmonth,Eric Gordon,52,GTD,JR Dreamers,51/127,36/43,9,286,127,51,0.402,43,36,0.837,73,21,0.288,159,1,18,19,31,3,5,18,19,0.5709737903225829,9.125709677419355
4472,lastmonth,Brook Lopez,75,,Ay-ton of drugs,59/127,27/33,15,406,127,59,0.465,33,27,0.818,58,18,0.31,163,21,57,78,8,9,17,16,38,4.377538306451616,6.331282258064515
4486,lastmonth,Serge Ibaka,78,,Ryan's Team,61/126,6/8,15,346,126,61,0.484,8,6,0.75,43,12,0.279,140,20,78,98,27,4,18,14,28,5.6849294354838715,0.9989516129032259
4487,lastmonth,Nicolas Batum,46,,World B. Flat,31/76,8/10,13,386,76,31,0.408,10,8,0.8,51,20,0.392,90,11,53,64,30,17,7,11,19,0.5330624999999998,1.7319354838709682
4497,lastmonth,DeAndre Jordan,66,,THANKS 4 DAFREEBANDZ,50/71,14/25,13,353,71,50,0.704,25,14,0.56,1,0,0.0,114,28,84,112,29,5,21,24,29,15.65977822580645,-0.32911290322580555
4507,lastmonth,Goran Dragic,66,,World B. Flat,31/65,20/22,6,167,65,31,0.477,22,20,0.909,21,8,0.381,90,0,17,17,19,4,1,12,15,2.6720625,6.50983870967742
4563,lastmonth,James Harden,100,,Ryan's Team,123/243,72/88,14,522,243,123,0.506,88,72,0.818,114,51,0.447,369,14,113,127,154,19,10,59,27,14.169054435483874,16.883419354838708
4610,lastmonth,Ricky Rubio,63,,ahmad's Team,53/124,29/36,15,416,124,53,0.427,36,29,0.806,53,22,0.415,157,7,36,43,108,19,0,30,41,1.9183649193548393,6.45226612903226
4612,lastmonth,Stephen Curry,100,,The Stephfather,138/283,74/79,13,456,283,138,0.488,79,74,0.937,169,69,0.408,419,5,64,69,86,19,0,37,19,13.412987903225808,26.158403225806456
4614,lastmonth,DeMar DeRozan,97,,Mount Zion💪🏾,59/126,57/62,9,308,126,59,0.468,62,57,0.919,15,3,0.2,178,6,36,42,77,8,0,15,14,4.554538306451615,19.12304032258065
4622,lastmonth,Jrue Holiday,97,,World B. Flat,25/48,4/8,5,113,48,25,0.521,8,4,0.5,15,4,0.267,58,5,4,9,24,6,1,8,9,3.2548891129032267,-0.3340322580645161
