player_id,stat_type,name,percent_owned,status,ownership,FGM/A,FTM/A,GP,MIN,FGA,FGM,FG%,FTA,FTM,FT%,3PTA,3PTM,3PT%,PTS,OFFREB,DEFREB,REB,AST,ST,BLK,TO,PF,IMPACT_FG,IMPACT_FT
3704,season_2019,LeBron James,100,GTD,THANKS 4 DAFREEBANDZ,643/1303,264/381,67,2315,1303,643,0.493,381,264,0.693,425,148,0.348,1698,66,459,525,684,78,36,261,118,71.88506653225791,22.44585483870958
3706,season_2019,Carmelo Anthony,56,,World B. Flat,336/782,136/161,58,1904,782,336,0.43,161,136,0.845,226,87,0.385,895,71,297,368,85,49,27,100,171,16.39558064516121,32.23501612903221
3818,season_2019,Dwight Howard,11,,Mount Zion💪🏾,202/277,110/214,69,1302,277,202,0.729,214,110,0.514,5,3,0.6,517,172,335,507,45,31,79,84,222,70.25486693548382,-10.337560483871002
3930,season_2019,Chris Paul,99,,THANKS 4 DAFREEBANDZ,434/887,253/279,70,2207,887,434,0.489,279,253,0.907,304,111,0.365,1232,26,323,349,472,111,11,161,158,46.783624999999894,75.6526108870967
3971,season_2019,Lou Williams,57,,Josh's Unreal Team,391/936,292/339,65,1866,936,391,0.418,339,292,0.861,315,111,0.352,1185,31,170,201,365,43,12,182,80,14.387381048386999,73.88247580645152
4130,season_2019,LaMarcus Aldridge,85,GTD,The Stephfather,391/793,158/191,53,1757,793,391,0.493,191,158,0.827,157,61,0.389,1001,103,289,392,129,36,87,74,128,43.712381048387,34.60550403225801
4152,season_2019,Kyle Lowry,98,,World B. Flat,334/803,294/343,58,2103,803,334,0.416,343,294,0.857,466,164,0.352,1126,32,260,292,433,82,26,178,190,11.621987903225723,73.21252016129023
4244,season_2019,Kevin Durant,100,INJ,Herro Ball,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
4245,season_2019,Al Horford,82,,ahmad's Team,319/709,61/80,67,2023,709,319,0.45,80,61,0.763,283,99,0.35,798,103,353,456,270,52,61,80,142,21.946042338709606,9.456352822580627
4246,season_2019,Mike Conley,86,,Ryan's Team,232/567,115/139,47,1359,567,232,0.409,139,115,0.827,256,96,0.375,675,33,118,151,208,36,5,92,104,6.44875806451607,25.187550403225764
4247,season_2019,Jeff Green,12,GTD,Keldon's Johnson,159/344,73/91,48,960,344,159,0.462,91,73,0.802,183,62,0.339,453,24,109,133,50,26,19,42,89,12.846622983870935,14.163618951612884
4290,season_2019,Thaddeus Young,74,,Mount Zion💪🏾,269/601,42/72,64,1594,601,269,0.448,72,42,0.583,222,79,0.356,659,94,221,315,117,92,23,102,134,17.968223790322522,-1.0490685483871116
4387,season_2019,Derrick Rose,64,INJ,JR Dreamers,369/753,121/139,50,1299,753,369,0.49,139,121,0.871,147,45,0.306,904,27,94,121,278,40,16,126,49,40.14586088709669,31.825683467741896
4390,season_2019,Russell Westbrook,100,,JR Dreamers,604/1281,290/380,57,2048,1281,604,0.472,380,290,0.763,213,55,0.258,1553,100,351,451,401,93,20,255,200,54.841008064515975,44.956431451612815
4391,season_2019,Kevin Love,75,INJ,Mount Zion💪🏾,327/727,187/219,56,1778,727,327,0.45,219,187,0.854,390,146,0.374,987,54,493,547,178,33,19,140,90,22.49641330645154,46.006147177419294
4468,season_2019,Danilo Gallinari,58,,Check Da Statistacss,358/817,266/298,62,1834,817,358,0.438,298,266,0.893,439,178,0.405,1160,34,288,322,119,42,5,76,75,20.33310080645153,75.8158991935483
4469,season_2019,Eric Gordon,52,GTD,JR Dreamers,171/463,82/107,36,1015,463,171,0.369,107,82,0.766,303,96,0.317,520,9,62,71,54,23,13,43,70,-2.0868205645161693,12.957818548387072
4472,season_2019,Brook Lopez,75,,Ay-ton of drugs,292/671,127/152,68,1817,671,292,0.435,152,127,0.836,325,102,0.314,813,58,254,312,99,46,163,70,163,15.708540322580577,28.95881653225802
